DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
1.0,8.63847391,3.52e-05,-3.52e-05,139.94684,0.0032,-0.0032,0.049,0.371,-0.048,5.4566,0.0903,-0.0903,396.0,11.8,-11.8,5.99,1.17,-2.19,1419.0,958.35,497.13,-591.88,38.6,1.0,5684.0,85.0,-76.0,3.657,0.3,-0.1,3.046,0.598,-1.111,295.97516,38.94664,14.507,1,2
1.0,8.512037736,6.48e-06,-6.48e-06,174.909816,0.0006,-0.0006,0.005,0.409,-0.005,2.1861,0.0221,-0.0221,598.0,6.5,-6.5,2.14,0.3,-0.11,839.0,117.11,44.92,-20.35,102.2,1.0,5767.0,92.0,-126.0,4.538,0.021,-0.119,0.881,0.123,-0.044,287.08997,41.373878,12.549,1,2
1.0,7.69363627,2.06e-05,-2.06e-05,176.5035,0.00224,-0.00224,0.366,0.142,-0.366,5.0324,0.0656,-0.0656,295.0,6.0,-6.0,2.12,0.36,-0.33,1069.0,308.61,152.48,-106.84,55.1,2.0,6086.0,134.0,-134.0,4.274,0.143,-0.117,1.216,0.207,-0.188,293.72806,46.12915,13.998,1,2
0.854,32.5474295,0.000521,-0.000521,133.6742,0.0126,-0.0126,0.709,0.047,-0.497,6.945,0.399,-0.399,157.0,16.1,-16.1,1.42,0.44,-0.23,618.0,34.42,31.93,-13.54,11.3,1.0,6068.0,190.0,-211.0,4.384,0.108,-0.201,1.061,0.324,-0.174,296.87976,40.45536,14.564,1,1
1.0,20.6654374,0.000179,-0.000179,132.01229,0.00651,-0.00651,0.05,0.417,-0.05,3.172,0.21,-0.21,100.0,8.4,-8.4,0.66,0.03,-0.04,487.0,13.35,2.41,-2.34,13.6,1.0,4830.0,96.0,-96.0,4.605,0.042,-0.021,0.676,0.03,-0.037,294.99023,39.346378,11.759,1,1
0.965,3.3879165,2.58e-05,-2.58e-05,133.93645,0.00581,-0.00581,0.117,0.328,-0.117,1.818,0.173,-0.173,78.6,8.9,-8.9,1.09,0.18,-0.18,1336.0,750.6,323.66,-254.56,10.4,1.0,5702.0,77.0,-77.0,4.247,0.162,-0.108,1.245,0.205,-0.205,293.28015,46.560089,14.491,1,1
1.0,9.42889884,2.35e-05,-2.35e-05,140.1046,0.00202,-0.00202,0.011,0.386,-0.011,4.4481,0.0582,-0.0582,565.0,12.0,-12.0,4.39,0.61,-1.13,1163.0,432.9,159.68,-207.44,50.4,1.0,5897.0,79.0,-79.0,3.98,0.203,-0.072,1.86,0.259,-0.481,289.09689,44.004379,14.5,1,2
0.0,231.157554,0.00493,-0.00493,346.94896,0.00903,-0.00903,0.749,0.204,-0.5,8.489,0.387,-0.387,846.0,55.2,-55.2,37.37,0.76,-13.6,789.0,91.65,13.52,-63.12,17.4,1.0,5386.0,133.0,-347.0,2.78,0.03,-0.03,11.839,0.239,-4.293,295.39795,50.539268,13.451,0,0
0.999,27.8813154,0.00038,-0.00038,134.51369,0.00959,-0.00959,0.168,0.288,-0.168,6.346,0.324,-0.324,209.0,16.3,-16.3,1.54,0.47,-0.2,681.0,50.86,44.41,-17.26,15.5,1.0,6434.0,152.0,-209.0,4.414,0.067,-0.202,1.055,0.323,-0.139,299.6611,44.112381,13.603,1,1
0.0,3.905532605,2.1e-06,-2.1e-06,133.349361,0.000445,-0.000445,0.002,0.089,-0.002,6.8091,0.0192,-0.0192,73100.0,236.0,-236.0,21.37,4.07,-2.19,1017.0,253.21,146.19,-70.59,350.4,1.0,5495.0,149.0,-149.0,4.543,0.063,-0.117,0.798,0.152,-0.082,283.06628,43.743591,12.862,0,0
