DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
1.0,7.136922,1.63e-05,-1.63e-05,131.75317,0.00185,-0.00185,0.072,0.321,-0.072,2.8005,0.0496,-0.0496,222.0,10.6,-10.6,1.38,0.43,-0.15,956.0,197.05,184.99,-58.72,23.7,2.0,6086.0,182.0,-200.0,4.511,0.052,-0.221,0.921,0.288,-0.096,296.84616,40.138611,14.373,1,1
1.0,3.08942807,3.35e-05,-3.35e-05,134.1999,0.0101,-0.0101,0.65,0.313,-0.424,3.214,0.3,-0.3,85.3,7.9,-7.9,1.07,0.17,-0.06,1361.0,808.76,334.72,-127.9,13.2,1.0,6137.0,80.0,-86.0,4.418,0.028,-0.105,1.103,0.175,-0.062,293.43079,46.692089,14.829,1,1
0.0,0.502446098,4.86e-06,-4.86e-06,131.9359,0.0108,-0.0108,0.636,0.026,-0.494,1.803,0.264,-0.264,11.4,1.8,-1.8,0.43,0.13,-0.08,2705.0,12572.01,11959.11,-5223.13,10.1,1.0,6306.0,177.0,-243.0,4.311,0.128,-0.192,1.197,0.385,-0.207,291.09753,51.310925,12.54,0,0
1.0,5.101375725,8.82e-06,-8.82e-06,357.48217,0.00117,-0.00117,0.027,0.358,-0.027,2.595,0.0378,-0.0378,895.0,18.9,-18.9,2.84,0.88,-0.3,1050.0,287.28,264.29,-87.12,55.1,1.0,5869.0,164.0,-205.0,4.479,0.067,-0.202,0.954,0.297,-0.099,295.57727,46.254742,15.455,1,2
1.0,22.34213536,9.35e-05,-9.35e-05,171.55939,0.00268,-0.00268,0.973,47.19,-0.028,6.461,0.143,-0.143,2260.0,50.9,-50.9,5.19,0.54,-0.55,526.0,18.14,6.77,-5.27,51.9,1.0,5237.0,157.0,-157.0,4.568,0.084,-0.056,0.707,0.074,-0.074,296.69336,47.392151,15.637,1,1
0.0,3.7228679,0.000136,-0.000136,134.635,0.0341,-0.0341,0.8,0.181,-0.573,9.557,0.893,-0.893,52.1,6.2,-6.2,0.74,0.21,-0.07,1182.0,461.27,384.21,-130.76,9.8,1.0,6046.0,163.0,-199.0,4.509,0.048,-0.192,0.927,0.263,-0.088,292.01721,41.562809,15.202,0,0
1.0,15.77382794,8.04e-05,-8.04e-05,137.53051,0.00408,-0.00408,0.035,0.419,-0.035,4.957,0.115,-0.115,314.0,12.1,-12.1,2.72,0.52,-0.51,955.0,196.14,104.29,-76.29,30.4,1.0,6283.0,126.0,-113.0,4.129,0.168,-0.112,1.531,0.29,-0.29,288.41769,46.590431,13.205,1,2
0.0,23.83680888,1.51e-06,-1.51e-06,173.7759431,4.98e-05,-4.98e-05,1.008,0.013,-0.013,6.02854,0.00455,-0.00455,29700.0,15.5,-15.5,59.31,15.0,-27.8,919.0,168.28,134.64,-127.05,2793.4,1.0,6095.0,213.0,-213.0,3.894,0.512,-0.128,1.94,0.49,-0.909,296.55386,43.543179,13.722,0,0
1.0,8.37159554,7.49e-05,-7.49e-05,137.68075,0.00864,-0.00864,0.983,0.018,-0.78,5.252,0.225,-0.225,98.0,6.2,-6.2,2.39,0.55,-0.68,1292.0,659.25,454.1,-356.1,16.6,3.0,6426.0,175.0,-175.0,4.013,0.259,-0.13,1.775,0.411,-0.503,293.21356,46.175129,13.474,1,2
1.0,4.76831033,1.91e-05,-1.91e-05,134.86116,0.00447,-0.00447,0.191,0.272,-0.191,3.2363,0.0683,-0.0683,252.0,8.2,-8.2,1.78,0.6,-0.26,1219.0,522.81,532.02,-199.71,35.4,1.0,6237.0,194.0,-259.0,4.374,0.09,-0.21,1.116,0.375,-0.161,287.0863,46.945808,14.083,1,2
0.0,6.474202359,7.05e-07,-7.05e-07,134.3950738,8.99e-05,-8.99e-05,0.448,0.004,-0.006,3.35989,0.00583,-0.00583,203000.0,206.0,-206.0,28.96,2.51,-2.27,717.0,62.47,20.51,-15.49,1284.0,1.0,4947.0,148.0,-148.0,4.636,0.065,-0.035,0.624,0.054,-0.049,293.54028,46.437279,14.998,0,0
0.0,2.199076661,7.3e-06,-7.3e-06,133.06147,0.00317,-0.00317,1.22,1.303,-0.174,6.11,0.135,-0.135,777.0,16.3,-16.3,21.72,3.93,-1.81,1179.0,457.33,273.92,-123.94,56.2,1.0,5310.0,185.0,-185.0,4.565,0.045,-0.105,0.791,0.143,-0.066,298.78415,47.655548,15.339,0,0
0.957,3.43633133,8.72e-06,-8.72e-06,132.42697,0.00187,-0.00187,0.114,0.351,-0.114,0.675,0.111,-0.111,474.0,46.8,-46.8,1.44,0.12,-0.13,945.0,188.22,62.33,-49.49,14.5,1.0,5201.0,156.0,-156.0,4.616,0.072,-0.044,0.651,0.057,-0.057,296.78934,47.234531,15.71,1,1
0.955,18.9060921,0.000236,-0.000236,140.82932,0.00989,-0.00989,0.004,0.446,-0.004,4.125,0.315,-0.315,376.0,36.5,-36.5,0.87,0.16,-0.21,336.0,3.03,2.29,-1.67,11.9,2.0,3751.0,219.0,-219.0,4.813,0.104,-0.085,0.45,0.082,-0.11,287.05453,45.18037,15.931,1,1
0.0,11.70219638,2.25e-05,-2.25e-05,151.13414,0.00156,-0.00156,1.166,68.38,-0.113,2.6658,0.084,-0.084,640.0,18.9,-18.9,16.15,3.82,-1.18,719.0,63.16,44.18,-14.55,41.3,1.0,5758.0,155.0,-155.0,4.596,0.038,-0.152,0.762,0.18,-0.056,284.45691,41.56131,13.579,0,0
0.0,6.352090869,5.46e-07,-5.46e-07,134.2069907,7.11e-05,-7.11e-05,0.223,0.069,-0.016,3.88771,0.00403,-0.00403,75100.0,69.9,-69.9,18.9,1.99,-1.82,772.0,83.66,31.5,-22.5,1343.2,1.0,5089.0,154.0,-138.0,4.58,0.072,-0.048,0.693,0.073,-0.067,300.77478,44.487751,14.933,0,0
0.998,28.8431751,0.000271,-0.000271,143.82307,0.00723,-0.00723,0.913,0.014,-0.637,3.171,0.196,-0.196,757.0,58.8,-58.8,2.66,0.3,-0.3,491.0,13.77,5.6,-4.15,15.0,1.0,5151.0,168.0,-153.0,4.528,0.082,-0.067,0.785,0.088,-0.088,298.73523,40.76416,15.652,1,2
0.0,12.4257442,0.000137,-0.000137,141.52382,0.00929,-0.00929,0.963,0.041,-0.056,29.122,0.335,-0.335,936.0,25.8,-25.8,8.43,1.86,-2.27,1551.0,1369.63,867.41,-766.45,49.6,1.0,8691.0,205.0,-410.0,4.072,0.171,-0.14,2.193,0.482,-0.59,297.64334,40.62252,12.625,0,0
0.994,39.74893077,1.55e-05,-1.55e-05,172.854644,0.000301,-0.000301,0.881,0.003,-0.003,7.3051,0.0213,-0.0213,15200.0,44.1,-44.1,14.21,4.46,-1.49,552.0,21.87,20.59,-6.71,561.1,1.0,6122.0,181.0,-218.0,4.487,0.052,-0.208,0.964,0.303,-0.101,293.17929,41.969238,15.344,1,1
0.053,10.32803571,3.76e-06,-3.76e-06,174.581054,0.000306,-0.000306,0.281,0.04,-0.064,7.7915,0.0272,-0.0272,16900.0,31.8,-31.8,13.28,3.64,-2.41,843.0,119.31,98.49,-48.58,636.8,1.0,5627.0,169.0,-169.0,4.359,0.18,-0.18,1.024,0.28,-0.186,287.69675,38.886452,15.646,0,0
0.931,37.8102649,0.000215,-0.000215,158.35799,0.00479,-0.00479,0.061,0.337,-0.061,8.733,0.132,-0.132,570.0,18.2,-18.2,2.33,0.72,-0.29,566.0,24.27,22.61,-7.99,35.2,1.0,6085.0,182.0,-200.0,4.451,0.081,-0.202,0.973,0.302,-0.121,289.7767,38.26228,14.633,1,1
0.0,7.2269859,0.000143,-0.000143,136.1514,0.0183,-0.0183,0.561,0.373,-0.342,14.241,0.526,-0.526,160.0,7.1,-7.1,0.79,0.06,-0.08,603.0,31.23,8.86,-8.85,26.2,1.0,4347.0,118.0,-131.0,4.645,0.052,-0.024,0.609,0.045,-0.061,281.9617,43.713871,14.941,0,0
0.0,0.933746783,3.28e-06,-3.28e-06,131.51962,0.00352,-0.00352,0.007,0.291,-0.006,4.255,0.114,-0.114,418.0,8.6,-8.6,1.3,0.1,-0.11,1309.0,696.63,205.15,-181.72,62.8,1.0,4643.0,126.0,-140.0,4.61,0.052,-0.028,0.663,0.052,-0.057,292.84448,47.550419,15.647,0,0
0.0,2.11547854,2.43e-05,-2.43e-05,132.0118,0.0122,-0.0122,0.755,0.179,-0.515,3.665,0.283,-0.283,223.0,12.3,-12.3,1.66,0.54,-0.18,1521.0,1264.56,1243.36,-416.85,21.6,1.0,6208.0,194.0,-259.0,4.454,0.054,-0.216,1.024,0.332,-0.111,287.19815,38.42897,15.542,0,0
1.0,136.205112,0.00138,-0.00138,234.72601,0.0077,-0.0077,0.49,0.064,-0.417,5.568,0.2,-0.2,1210.0,70.2,-70.2,2.35,0.22,-0.17,248.0,0.89,0.33,-0.23,20.0,1.0,4648.0,167.0,-167.0,4.631,0.032,-0.042,0.675,0.062,-0.05,288.53854,40.87711,15.839,1,2
0.0,3.04463691,7.9e-05,-7.9e-05,132.4477,0.0213,-0.0213,0.322,0.131,-0.322,6.656,0.603,-0.603,47.0,5.3,-5.3,0.68,0.21,-0.07,1321.0,721.48,667.68,-219.85,10.4,1.0,6181.0,175.0,-218.0,4.474,0.054,-0.202,0.98,0.306,-0.102,293.65582,45.511108,14.886,0,0
0.0,5.357409918,6.78e-07,-6.78e-07,131.637601,0.0001,-0.0001,0.804,0.041,-0.036,4.28582,0.00587,-0.00587,199000.0,208.0,-208.0,124.05,39.6,-67.8,1492.0,1172.13,1150.6,-956.5,936.1,1.0,5768.0,191.0,-156.0,3.809,0.653,-0.174,2.057,0.656,-1.125,298.99442,46.812408,13.166,0,0
1.0,19.58561177,4.53e-05,-4.53e-05,132.36472,0.00198,-0.00198,0.964,0.025,-0.675,1.755,0.111,-0.111,533.0,23.7,-23.7,3.09,0.41,-0.34,666.0,46.51,18.16,-12.21,27.1,1.0,5618.0,112.0,-101.0,4.401,0.1,-0.1,0.996,0.133,-0.109,295.79218,47.600101,14.18,1,1
0.0,4.98845099,4.72e-05,-4.72e-05,133.74684,0.00883,-0.00883,0.041,0.435,-0.041,7.453,0.327,-0.327,194.0,9.7,-9.7,1.33,0.36,-0.2,1055.0,292.71,241.93,-104.25,23.3,1.0,5695.0,169.0,-169.0,4.411,0.124,-0.186,0.961,0.264,-0.142,296.44901,46.623589,15.331,0,0
0.0,17.72722648,1.11e-05,-1.11e-05,144.070402,0.000707,-0.000707,0.381,0.01,-0.013,4.1376,0.0118,-0.0118,147000.0,201.0,-201.0,35.18,10.8,-3.62,692.0,54.32,50.97,-16.95,922.1,1.0,6021.0,190.0,-232.0,4.52,0.052,-0.208,0.895,0.276,-0.092,296.7345,39.186111,15.556,0,0
1.0,3.40165617,1.12e-05,-1.12e-05,132.06195,0.00258,-0.00258,0.906,0.028,-0.682,1.9617,0.0846,-0.0846,156.0,9.0,-9.0,1.34,0.41,-0.13,1236.0,552.42,495.04,-158.35,19.9,1.0,6177.0,169.0,-188.0,4.516,0.04,-0.216,0.906,0.276,-0.092,291.84131,45.17918,14.497,1,2
0.982,10.55840479,8.57e-05,-8.57e-05,136.34449,0.00678,-0.00678,0.31,0.146,-0.31,3.366,0.18,-0.18,194.0,14.3,-14.3,1.41,0.2,-0.19,796.0,94.94,35.49,-28.09,14.6,3.0,5353.0,80.0,-72.0,4.358,0.137,-0.1,1.023,0.141,-0.141,293.35172,48.444641,14.531,1,2
0.553,9.4767057,0.000167,-0.000167,134.7294,0.0159,-0.0159,0.003,0.442,-0.003,3.893,0.413,-0.413,231.0,29.7,-29.7,1.38,0.43,-0.14,841.0,118.13,109.1,-34.99,8.6,2.0,5911.0,177.0,-195.0,4.519,0.048,-0.204,0.914,0.281,-0.094,292.25464,37.97142,15.761,1,1
0.0,0.93374417,1.11e-05,-1.11e-05,132.44559,0.00991,-0.00991,0.277,0.189,-0.277,3.385,0.394,-0.394,31.3,4.0,-4.0,0.64,0.22,-0.07,2126.0,4835.58,4769.19,-1525.73,9.9,1.0,6363.0,153.0,-211.0,4.399,0.07,-0.21,1.131,0.389,-0.13,292.12277,47.646069,14.616,0,0
0.179,33.0257179,0.000618,-0.000618,161.01,0.0123,-0.0123,0.044,0.413,-0.044,6.032,0.45,-0.45,507.0,47.2,-47.2,2.21,0.36,-0.12,564.0,23.95,10.11,-3.79,12.2,1.0,5819.0,69.0,-87.0,4.468,0.032,-0.128,0.99,0.163,-0.054,295.16721,38.637081,15.606,1,1
0.878,5.68251605,7.04e-05,-7.04e-05,131.6745,0.0105,-0.0105,0.0,0.462,0.0,3.479,0.327,-0.327,81.2,10.4,-10.4,1.03,0.17,-0.14,1090.0,333.82,142.98,-96.75,9.4,1.0,5753.0,78.0,-78.0,4.319,0.115,-0.115,1.157,0.189,-0.155,296.04425,44.80529,14.878,1,1
1.0,4.79860021,5.33e-06,-5.33e-06,173.257466,0.000839,-0.000839,0.594,0.02,-0.463,3.0384,0.0367,-0.0367,817.0,10.6,-10.6,2.51,0.62,-0.2,978.0,216.54,156.47,-54.81,88.1,1.0,5631.0,152.0,-169.0,4.557,0.042,-0.168,0.847,0.207,-0.069,286.55103,49.418739,14.675,1,2
0.0,0.750737313,4.81e-06,-4.81e-06,131.82143,0.00606,-0.00606,0.463,0.016,-0.447,1.712,0.171,-0.171,38.8,3.9,-3.9,0.48,0.04,-0.02,1603.0,1558.69,387.19,-198.44,13.4,1.0,5151.0,72.0,-92.0,4.602,0.01,-0.07,0.761,0.066,-0.024,293.82587,48.34436,12.306,0,0
0.0,1.065731229,5.74e-07,-5.74e-07,132.039287,0.000446,-0.000446,1.277,5.118,-0.055,1.7499,0.0249,-0.0249,3640.0,42.5,-42.5,384.26,72.6,-218.0,5118.0,161806.81,89420.71,-135262.1,109.2,1.0,6244.0,148.0,-204.0,2.897,0.512,-0.096,10.105,1.91,-5.731,292.1059,38.83622,13.151,0,0
0.0,53.50186097,5.79e-06,-5.79e-06,132.211255,9.15e-05,-9.15e-05,0.431,0.01,-0.012,5.25334,0.00538,-0.00538,457000.0,418.0,-418.0,55.23,9.74,-4.51,409.0,6.63,3.79,-1.67,1363.9,1.0,5436.0,177.0,-160.0,4.587,0.045,-0.105,0.748,0.132,-0.061,291.70251,50.863491,15.929,0,0
0.0,19.93364711,1.94e-05,-1.94e-05,143.94041,0.00119,-0.00119,0.852,0.03,-0.027,8.6122,0.0059,-0.0059,175000.0,108.0,-108.0,75.88,21.9,-16.5,848.0,122.24,104.48,-58.18,1863.4,1.0,6505.0,181.0,-250.0,4.25,0.153,-0.187,1.29,0.373,-0.28,289.11096,43.013641,14.575,0,0
0.0,12.71871149,1.82e-06,-1.82e-06,172.995345,0.000115,-0.000115,1.588,2.586,-0.132,2.48998,0.00805,-0.00805,8380.0,18.5,-18.5,120.02,30.6,-45.9,1042.0,279.33,225.15,-186.8,550.2,1.0,6120.0,213.0,-213.0,4.036,0.378,-0.162,1.596,0.407,-0.61,293.91364,45.189793,13.816,0,0
0.991,17.79108667,4.41e-05,-4.41e-05,149.25344,0.00197,-0.00197,0.654,0.037,-0.495,2.662,0.0593,-0.0593,414.0,11.3,-11.3,2.88,0.47,-0.64,830.0,112.09,48.4,-47.0,39.8,1.0,5855.0,79.0,-70.0,4.148,0.195,-0.105,1.34,0.221,-0.294,296.08975,48.955372,13.8,1,1
0.0,31.9733117,8.24e-06,-8.24e-06,133.867225,0.000213,-0.000213,1.35,0.06,-0.112,13.2105,0.0187,-0.0187,75100.0,62.0,-62.0,272.44,55.6,-130.0,1289.0,652.01,402.39,-501.26,1554.1,1.0,7854.0,217.0,-326.0,3.669,0.432,-0.108,3.462,0.707,-1.65,292.1394,44.672741,8.5,0,0
0.985,6.34724702,6.77e-05,-6.77e-05,133.00398,0.00979,-0.00979,0.739,0.227,-0.517,3.097,0.249,-0.249,160.0,16.3,-16.3,1.35,0.16,-0.16,919.0,168.14,56.31,-46.0,11.1,2.0,5300.0,79.0,-79.0,4.385,0.126,-0.092,0.986,0.12,-0.12,298.75836,41.159882,14.948,1,1
0.0,1.334104585,9.8e-08,-9.8e-08,132.3674913,6.38e-05,-6.38e-05,0.986,0.179,-0.014,3.14624,0.00279,-0.00279,61700.0,26.1,-26.1,44.9,14.1,-7.01,1880.0,2954.64,2808.3,-1154.51,1334.6,1.0,6319.0,198.0,-242.0,4.373,0.105,-0.195,1.083,0.339,-0.169,294.59683,38.37014,15.387,0,0
1.0,10.42317343,8.78e-05,-8.78e-05,135.15208,0.00674,-0.00674,0.811,0.175,-0.591,2.341,0.214,-0.214,71.2,7.5,-7.5,1.07,0.15,-0.19,901.0,155.7,65.35,-57.87,11.2,2.0,5767.0,115.0,-104.0,4.287,0.162,-0.108,1.135,0.165,-0.202,288.66077,43.36808,13.455,1,2
1.0,25.8474958,0.00017,-0.00017,188.874,0.00462,-0.00462,0.054,0.421,-0.054,5.985,0.148,-0.148,537.0,21.4,-21.4,2.4,0.75,-0.25,672.0,48.23,43.85,-14.74,27.3,2.0,6297.0,169.0,-225.0,4.448,0.052,-0.208,1.031,0.32,-0.107,297.9516,46.264721,15.083,1,2
0.999,6.09747233,5.34e-05,-5.34e-05,354.05919,0.00638,-0.00638,0.012,0.446,-0.012,3.431,0.158,-0.158,218.0,14.2,-14.2,2.22,0.34,-0.52,1197.0,485.84,202.17,-214.51,17.4,3.0,5661.0,85.0,-77.0,4.09,0.203,-0.087,1.522,0.236,-0.353,288.91644,39.594711,15.151,1,2
0.837,347.97611,0.0127,-0.0127,169.433,0.0305,-0.0305,0.057,0.383,-0.057,16.77,1.1,-1.1,341.0,34.9,-34.9,1.62,0.49,-0.15,253.0,0.97,0.87,-0.27,11.9,1.0,5995.0,163.0,-181.0,4.536,0.038,-0.2,0.878,0.266,-0.083,290.3031,44.678089,14.648,1,1
0.0,1.168310132,1.03e-06,-1.03e-06,170.604205,0.00067,-0.00067,0.107,0.363,-0.107,1.31,0.0265,-0.0265,283.0,5.5,-5.5,1.43,0.31,-0.19,1577.0,1469.16,976.6,-479.58,64.7,1.0,5509.0,166.0,-149.0,4.487,0.092,-0.138,0.857,0.185,-0.114,291.12799,38.914688,13.831,0,0
1.0,5.766165573,7.62e-06,-7.62e-06,134.01725,0.00107,-0.00107,0.017,0.307,-0.017,3.8314,0.0296,-0.0296,365.0,5.9,-5.9,2.27,0.36,-0.36,1159.0,426.48,193.4,-148.09,65.6,2.0,6038.0,121.0,-121.0,4.284,0.137,-0.112,1.191,0.189,-0.189,291.11188,39.949108,14.247,1,2
0.015,62.6825769,0.000284,-0.000284,182.22959,0.00359,-0.00359,1.095,7.102,-0.113,2.327,0.166,-0.166,399.0,26.4,-26.4,39.8,5.1,-14.3,916.0,166.36,69.32,-106.58,17.8,1.0,7058.0,191.0,-233.0,3.648,0.328,-0.082,3.101,0.398,-1.113,289.37381,50.934341,13.072,1,1
0.0,2.537081943,1.41e-07,-1.41e-07,134.005172,4.54e-05,-4.54e-05,0.451,0.004,-0.003,4.80903,0.00183,-0.00183,245000.0,142.0,-142.0,67.96,23.3,-9.97,1712.0,2032.57,1994.6,-754.85,2434.8,1.0,6735.0,162.0,-243.0,4.307,0.072,-0.203,1.309,0.448,-0.192,298.12146,45.651131,13.04,0,0
1.0,20.38174802,5.24e-05,-5.24e-05,142.31499,0.00209,-0.00209,0.295,0.148,-0.295,3.7922,0.0692,-0.0692,1600.0,36.7,-36.7,3.16,0.11,-0.22,528.0,18.36,2.57,-3.52,46.8,1.0,4883.0,77.0,-87.0,4.515,0.064,-0.02,0.808,0.028,-0.055,286.74188,43.190102,15.887,1,2
0.464,6.20920207,4.79e-05,-4.79e-05,136.87938,0.00711,-0.00711,0.272,0.189,-0.272,2.637,0.17,-0.17,102.0,9.2,-9.2,0.89,0.19,-0.13,914.0,164.98,110.29,-58.3,12.1,2.0,5440.0,162.0,-162.0,4.438,0.144,-0.192,0.885,0.193,-0.129,297.72427,43.527431,14.48,1,1
0.992,2.732767897,5.91e-06,-5.91e-06,354.09581,0.00145,-0.00145,0.748,0.17,-0.517,1.1102,0.0521,-0.0521,613.0,27.2,-27.2,1.42,0.1,-0.1,687.0,52.68,12.88,-10.53,27.0,2.0,3825.0,76.0,-84.0,4.749,0.028,-0.044,0.524,0.038,-0.034,293.67422,47.908459,15.673,1,2
0.983,4.76559056,2.77e-05,-2.77e-05,133.50531,0.00533,-0.00533,0.14,0.326,-0.14,2.2,0.147,-0.147,67.5,5.2,-5.2,0.92,0.28,-0.23,1167.0,439.42,417.69,-222.17,15.2,1.0,5702.0,189.0,-172.0,4.258,0.253,-0.207,1.125,0.347,-0.284,287.20587,38.498055,12.994,1,1
1.0,1.565412613,1.6e-06,-1.6e-06,132.91281,0.00115,-0.00115,0.003,0.431,-0.003,0.7572,0.0299,-0.0299,2750.0,83.1,-83.1,1.73,0.22,-0.19,648.0,41.85,15.16,-10.74,48.6,1.0,3464.0,69.0,-55.0,4.923,0.044,-0.044,0.328,0.04,-0.036,282.25021,44.921108,16.257,1,2
1.0,5.859935955,3.78e-06,-3.78e-06,132.040528,0.000542,-0.000542,0.049,0.281,-0.049,4.0185,0.0168,-0.0168,323.0,1.9,-1.9,2.56,0.1,-0.15,1246.0,569.5,73.19,-93.4,186.7,1.0,6181.0,68.0,-86.0,4.22,0.033,-0.027,1.424,0.056,-0.085,288.68869,41.15118,11.018,1,2
1.0,0.568874717,5.7e-07,-5.7e-07,132.048771,0.000828,-0.000828,0.05,0.399,-0.05,1.2177,0.0304,-0.0304,378.0,9.4,-9.4,1.49,0.24,-0.11,1796.0,2473.19,1305.74,-589.49,50.4,1.0,5223.0,171.0,-155.0,4.593,0.028,-0.105,0.78,0.124,-0.057,291.61188,42.115971,15.23,1,2
0.0,0.960842633,4.4e-07,-4.4e-07,131.777663,0.000367,-0.000367,1.341,0.363,-0.239,2.6441,0.0206,-0.0206,2020.0,13.4,-13.4,67.53,20.9,-14.0,2808.0,14655.53,13807.27,-6885.77,176.1,1.0,7381.0,232.0,-310.0,4.186,0.124,-0.186,1.597,0.495,-0.33,295.5596,46.17804,13.402,0,0
0.0,60.32668824,5.62e-05,-5.62e-05,145.057472,0.000747,-0.000747,0.974,24.4,-0.053,1.6864,0.0423,-0.0423,3150.0,67.5,-67.5,4.98,0.28,-0.36,240.0,0.79,0.16,-0.16,57.0,1.0,3705.0,74.0,-74.0,4.721,0.039,-0.021,0.529,0.03,-0.038,297.4292,40.561909,13.693,1,1
0.053,392.94247,0.0153,-0.0153,383.673,0.0345,-0.0345,0.01,0.436,-0.01,11.055,0.849,-0.849,120.0,13.1,-13.1,1.6,0.39,-0.59,347.0,3.43,2.58,-2.24,10.0,1.0,6596.0,206.0,-229.0,4.073,0.385,-0.165,1.44,0.353,-0.529,288.39456,47.264351,12.152,0,0
0.0,2.113197701,2.04e-07,-2.04e-07,132.3310213,8.07e-05,-8.07e-05,0.909,0.117,-0.012,3.46341,0.00578,-0.00578,57300.0,72.0,-72.0,50.13,14.3,-14.3,1825.0,2624.42,2257.94,-1452.08,1048.1,1.0,6215.0,188.0,-206.0,4.138,0.258,-0.172,1.463,0.417,-0.417,296.91443,43.519451,13.774,0,0
1.0,91.078624,0.00141,-0.00141,213.7723,0.0133,-0.0133,0.901,0.045,-0.632,10.304,0.288,-0.288,739.0,38.7,-38.7,3.26,1.03,-0.44,415.0,7.02,6.73,-2.47,20.8,1.0,5915.0,184.0,-205.0,4.437,0.072,-0.203,1.008,0.319,-0.137,282.65741,43.162521,15.214,1,2
0.0,0.981399749,1.88e-06,-1.88e-06,132.12493,0.00144,-0.00144,0.408,0.047,-0.408,0.5051,0.0702,-0.0702,158.0,10.8,-10.8,1.21,0.35,-0.12,1820.0,2602.14,2228.1,-746.04,16.2,1.0,6038.0,163.0,-199.0,4.524,0.048,-0.204,0.898,0.262,-0.087,290.3602,44.273361,14.652,0,0
0.0,2.050435466,1.3e-06,-1.3e-06,133.288776,0.00056,-0.00056,1.275,0.196,-0.109,8.0122,0.0227,-0.0227,7770.0,20.7,-20.7,34.84,6.5,-4.35,1278.0,629.98,400.07,-211.12,445.8,1.0,5440.0,207.0,-189.0,4.496,0.092,-0.127,0.825,0.154,-0.103,287.16849,39.379581,14.808,0,0
1.0,14.53410833,5.02e-05,-5.02e-05,145.42643,0.00257,-0.00257,0.766,0.166,-0.524,3.3094,0.0799,-0.0799,511.0,17.5,-17.5,1.36,0.07,-0.09,420.0,7.34,1.33,-1.54,32.5,1.0,3957.0,71.0,-87.0,4.693,0.042,-0.018,0.553,0.027,-0.039,290.29456,45.56461,14.688,1,1
0.0,1.23708565,4.69e-05,-4.69e-05,132.7235,0.0489,-0.0489,1.222,0.54,-0.173,5.743,0.155,-0.155,804.0,17.8,-17.8,36.31,10.0,-7.33,2174.0,5293.07,4346.26,-2412.76,55.3,1.0,6556.0,185.0,-254.0,4.243,0.17,-0.187,1.324,0.366,-0.267,288.97766,40.010529,14.462,0,0
0.0,13.6550963,0.000152,-0.000152,137.52651,0.00742,-0.00742,0.235,0.22,-0.235,4.117,0.215,-0.215,196.0,15.8,-15.8,1.35,0.45,-0.14,780.0,87.46,85.77,-26.68,14.6,1.0,6065.0,180.0,-198.0,4.487,0.054,-0.216,0.962,0.315,-0.105,296.61996,48.9058,14.818,0,0
0.0,0.94808587,2.8e-06,-2.8e-06,131.93348,0.00168,-0.00168,1.105,0.103,-0.085,8.03,1.3,-1.3,230.0,64.7,-64.7,37.72,6.65,-12.4,3359.0,30040.23,15622.29,-18150.39,145.3,1.0,6875.0,164.0,-226.0,3.798,0.259,-0.111,2.856,0.503,-0.935,297.99118,47.768749,11.601,0,0
0.923,100.345648,0.0013,-0.0013,152.8425,0.0118,-0.0118,0.54,0.003,-0.477,7.939,0.308,-0.308,372.0,28.0,-28.0,1.57,0.11,-0.08,325.0,2.62,0.61,-0.45,15.2,1.0,5180.0,103.0,-103.0,4.548,0.041,-0.054,0.8,0.054,-0.043,288.34174,40.09639,14.855,1,1
0.0,8.209514329,1.4e-07,-1.4e-07,134.0632157,1.4e-05,-1.4e-05,1.079,0.051,-0.137,4.14104,0.00191,-0.00191,141000.0,1.3,-1.3,149.52,35.8,-66.4,1371.0,834.79,621.79,-615.53,6579.3,1.0,6258.0,203.0,-248.0,3.882,0.464,-0.116,2.111,0.505,-0.938,298.44855,45.104176,12.121,0,0
